boredapeyachtclub10,202146,364910,boredapeyachtclub,1,1
boredapeyachtclub100,202218,329674,boredapeyachtclub,3,3
boredapeyachtclub1000,202120,2040,boredapeyachtclub,1,1
boredapeyachtclub1001,202211,192740,boredapeyachtclub,3,3
boredapeyachtclub1002,202143,158235,boredapeyachtclub,6,6
boredapeyachtclub1003,202152,290345,boredapeyachtclub,2,2
boredapeyachtclub1004,202222,174653,boredapeyachtclub,4,4
boredapeyachtclub1005,202118,2394,boredapeyachtclub,1,1
boredapeyachtclub1006,202146,196139,boredapeyachtclub,3,3
boredapeyachtclub1007,202208,219021,boredapeyachtclub,2,2
boredapeyachtclub1008,202118,650,boredapeyachtclub,1,1
boredapeyachtclub1009,202129,13300,boredapeyachtclub,4,4
boredapeyachtclub101,202222,161240,boredapeyachtclub,3,3
boredapeyachtclub1011,202211,257849,boredapeyachtclub,1,1
boredapeyachtclub1015,202204,234458,boredapeyachtclub,1,1
boredapeyachtclub1017,202149,256986,boredapeyachtclub,2,2
boredapeyachtclub102,202146,218777,boredapeyachtclub,3,3
boredapeyachtclub1020,202119,1382,boredapeyachtclub,1,1
boredapeyachtclub1021,202130,16257,boredapeyachtclub,2,2
boredapeyachtclub1022,202125,13215,boredapeyachtclub,3,3
boredapeyachtclub1025,202118,442,boredapeyachtclub,1,1
boredapeyachtclub1026,202118,265,boredapeyachtclub,1,1
boredapeyachtclub1029,202217,450968,boredapeyachtclub,1,1
boredapeyachtclub103,202137,114961,boredapeyachtclub,3,3
boredapeyachtclub1030,202219,181970,boredapeyachtclub,1,1
boredapeyachtclub1033,202218,315937,boredapeyachtclub,1,1
boredapeyachtclub1036,202215,358558,boredapeyachtclub,1,1
boredapeyachtclub1038,202124,4172,boredapeyachtclub,3,3
boredapeyachtclub1039,202207,376466,boredapeyachtclub,3,3
boredapeyachtclub1040,202142,131833,boredapeyachtclub,2,2
boredapeyachtclub1041,202121,1372,boredapeyachtclub,2,2
boredapeyachtclub1042,202136,138134,boredapeyachtclub,6,6
boredapeyachtclub1044,202131,23322,boredapeyachtclub,4,4
boredapeyachtclub1045,202123,3389,boredapeyachtclub,3,3
boredapeyachtclub1046,202151,225436,boredapeyachtclub,5,5
boredapeyachtclub1047,202131,18060,boredapeyachtclub,1,1
boredapeyachtclub1048,202126,10211,boredapeyachtclub,3,3
boredapeyachtclub1049,202211,219917,boredapeyachtclub,2,2
boredapeyachtclub105,202212,355413,boredapeyachtclub,1,1
boredapeyachtclub1050,202224,96730,boredapeyachtclub,2,2
boredapeyachtclub1051,202144,173586,boredapeyachtclub,6,6
boredapeyachtclub1052,202125,4914,boredapeyachtclub,2,2
boredapeyachtclub1053,202124,4294,boredapeyachtclub,2,2
boredapeyachtclub1054,202131,23008,boredapeyachtclub,4,4
boredapeyachtclub1055,202128,8960,boredapeyachtclub,2,2
boredapeyachtclub1056,202223,180365,boredapeyachtclub,3,3
boredapeyachtclub1057,202218,449952,boredapeyachtclub,4,4
boredapeyachtclub1058,202140,158022,boredapeyachtclub,3,3
boredapeyachtclub1059,202202,240272,boredapeyachtclub,2,2
boredapeyachtclub1060,202211,298352,boredapeyachtclub,4,4
boredapeyachtclub1061,202130,20434,boredapeyachtclub,2,2
boredapeyachtclub1062,202201,259905,boredapeyachtclub,3,3
boredapeyachtclub1063,202118,17500,boredapeyachtclub,1,1
boredapeyachtclub1064,202146,226027,boredapeyachtclub,5,5
boredapeyachtclub1065,202123,4927,boredapeyachtclub,1,1
boredapeyachtclub1066,202127,13180,boredapeyachtclub,1,1
boredapeyachtclub1067,202126,5577,boredapeyachtclub,2,2
boredapeyachtclub1068,202127,11616,boredapeyachtclub,1,1
boredapeyachtclub1069,202126,6373,boredapeyachtclub,2,2
boredapeyachtclub1070,202128,7937,boredapeyachtclub,1,1
boredapeyachtclub1072,202134,70985,boredapeyachtclub,1,1
boredapeyachtclub1073,202201,300836,boredapeyachtclub,2,2
boredapeyachtclub1074,202206,327919,boredapeyachtclub,6,6
boredapeyachtclub1075,202125,8009,boredapeyachtclub,1,1
boredapeyachtclub1076,202213,378541,boredapeyachtclub,3,3
boredapeyachtclub108,202133,46685,boredapeyachtclub,1,1
boredapeyachtclub1080,202136,177231,boredapeyachtclub,8,8
boredapeyachtclub1082,202118,862,boredapeyachtclub,1,1
boredapeyachtclub1083,202216,372302,boredapeyachtclub,5,5
boredapeyachtclub1084,202146,235936,boredapeyachtclub,2,2
boredapeyachtclub1085,202210,204979,boredapeyachtclub,4,4
boredapeyachtclub1086,202146,176534,boredapeyachtclub,3,3
boredapeyachtclub1087,202118,973,boredapeyachtclub,1,1
boredapeyachtclub1088,202147,253609,boredapeyachtclub,2,2
boredapeyachtclub1091,202124,7103,boredapeyachtclub,2,2
boredapeyachtclub1094,202134,58828,boredapeyachtclub,5,5
boredapeyachtclub1095,202126,5950,boredapeyachtclub,2,2
boredapeyachtclub1096,202223,162788,boredapeyachtclub,2,2
boredapeyachtclub1097,202118,737,boredapeyachtclub,1,1
boredapeyachtclub1098,202137,112329,boredapeyachtclub,5,5
boredapeyachtclub1099,202131,66467,boredapeyachtclub,1,1
boredapeyachtclub11,202131,54514,boredapeyachtclub,1,1
boredapeyachtclub1100,202213,393446,boredapeyachtclub,3,3
boredapeyachtclub1102,202118,9436,boredapeyachtclub,1,1
boredapeyachtclub1103,202120,977,boredapeyachtclub,1,1
boredapeyachtclub1104,202145,157290,boredapeyachtclub,4,4
boredapeyachtclub1106,202124,4479,boredapeyachtclub,2,2
boredapeyachtclub1107,202146,255240,boredapeyachtclub,1,1
boredapeyachtclub1108,202202,246664,boredapeyachtclub,4,4
boredapeyachtclub1109,202220,186389,boredapeyachtclub,7,7
boredapeyachtclub1111,202118,3260,boredapeyachtclub,1,1
boredapeyachtclub1113,202219,257971,boredapeyachtclub,6,6
boredapeyachtclub1115,202119,7065,boredapeyachtclub,1,1
boredapeyachtclub1118,202211,306796,boredapeyachtclub,1,1
boredapeyachtclub1119,202128,48515,boredapeyachtclub,1,1
boredapeyachtclub112,202129,14763,boredapeyachtclub,2,2
boredapeyachtclub1121,202128,8883,boredapeyachtclub,3,3
boredapeyachtclub1124,202144,292379,boredapeyachtclub,5,5
boredapeyachtclub1125,202134,80665,boredapeyachtclub,4,4
boredapeyachtclub1126,202118,738,boredapeyachtclub,1,1
boredapeyachtclub1127,202123,4609,boredapeyachtclub,2,2
boredapeyachtclub1128,202152,237817,boredapeyachtclub,6,6
boredapeyachtclub1129,202118,856,boredapeyachtclub,1,1
boredapeyachtclub1130,202129,12764,boredapeyachtclub,2,2
boredapeyachtclub1131,202214,613166,boredapeyachtclub,5,5
boredapeyachtclub1132,202121,1192,boredapeyachtclub,1,1
boredapeyachtclub1133,202146,207905,boredapeyachtclub,6,6
boredapeyachtclub1134,202150,239848,boredapeyachtclub,7,7
boredapeyachtclub1136,202218,358907,boredapeyachtclub,5,5
boredapeyachtclub1137,202201,267609,boredapeyachtclub,5,5
boredapeyachtclub1138,202123,4696,boredapeyachtclub,1,1
boredapeyachtclub1139,202122,2368,boredapeyachtclub,2,2
