DATES,INDEX
06-May-2021,1
13-May-2021,1.51408934593201
20-May-2021,1.22776770591736
27-May-2021,1.06076216697693
03-Jun-2021,1.80561435222626
10-Jun-2021,3.64905571937561
17-Jun-2021,4.14225292205811
24-Jun-2021,6.36594009399414
01-Jul-2021,5.93419551849365
08-Jul-2021,6.16628503799438
15-Jul-2021,7.55241441726685
22-Jul-2021,10.3296766281128
29-Jul-2021,12.6131238937378
05-Aug-2021,20.0727977752686
12-Aug-2021,38.5290222167969
19-Aug-2021,37.3295249938965
26-Aug-2021,63.3483734130859
02-Sep-2021,113.35311126709
09-Sep-2021,107.380462646484
16-Sep-2021,95.4357833862305
23-Sep-2021,78.7795867919922
30-Sep-2021,95.4441986083984
07-Oct-2021,110.583824157715
14-Oct-2021,106.011795043945
21-Oct-2021,108.892433166504
28-Oct-2021,101.252716064453
04-Nov-2021,119.437538146973
11-Nov-2021,109.977615356445
18-Nov-2021,148.040390014648
25-Nov-2021,167.278945922852
02-Dec-2021,171.926666259766
09-Dec-2021,190.492858886719
16-Dec-2021,172.008911132813
23-Dec-2021,164.977996826172
31-Dec-2021,166.984558105469
07-Jan-2022,178.876663208008
14-Jan-2022,176.871688842773
21-Jan-2022,203.689636230469
28-Jan-2022,157.398483276367
04-Feb-2022,230.979705810547
11-Feb-2022,236.711288452148
18-Feb-2022,191.061325073242
25-Feb-2022,175.290115356445
04-Mar-2022,232.935546875
11-Mar-2022,145.443664550781
18-Mar-2022,208.473968505859
25-Mar-2022,252.608489990234
01-Apr-2022,256.34423828125
08-Apr-2022,297.075103759766
15-Apr-2022,242.18669128418
22-Apr-2022,278.522399902344
29-Apr-2022,328.309814453125
06-May-2022,266.576171875
13-May-2022,155.007904052734
20-May-2022,157.579986572266
27-May-2022,127.255592346191
03-Jun-2022,114.568649291992
10-Jun-2022,126.620887756348
17-Jun-2022,79.3705520629883
24-Jun-2022,70.1445693969727
